"Filename";"Keywords";"Length";"Description";"SourceString";"CategoryString"
"SY_plnm_r_-0.5_1000_1.dat";"synthetic,powerlawnoise";"1000";;"Ben Fulcher Simulated";NULL
"SY_plnm_r_-0.5_1000_2.dat";"synthetic,powerlawnoise";"1000";;"Ben Fulcher Simulated";NULL
"SY_plnm_r_-0.5_1000_3.dat";"synthetic,powerlawnoise";"1000";;"Ben Fulcher Simulated";NULL
"SY_plnm_r_-0.5_5000_1.dat";"synthetic,powerlawnoise";"5000";;"Ben Fulcher Simulated";NULL
"SY_plnm_r_-0.5_5000_2.dat";"synthetic,powerlawnoise";"5000";;"Ben Fulcher Simulated";NULL
"SY_plnm_r_-0.5_5000_3.dat";"synthetic,powerlawnoise";"5000";;"Ben Fulcher Simulated";NULL
"SY_plnm_r_-1.5_10000_1.dat";"synthetic,powerlawnoise";"10000";;"Ben Fulcher Simulated";NULL
"SY_plnm_r_-1.5_10000_2.dat";"synthetic,powerlawnoise";"10000";;"Ben Fulcher Simulated";NULL
"SY_plnm_r_-1.5_10000_3.dat";"synthetic,powerlawnoise";"10000";;"Ben Fulcher Simulated";NULL
"SY_plnm_r_-1.5_1000_1.dat";"synthetic,powerlawnoise";"1000";;"Ben Fulcher Simulated";NULL
"SY_plnm_r_-1.5_1000_2.dat";"synthetic,powerlawnoise";"1000";;"Ben Fulcher Simulated";NULL
"SY_plnm_r_-1.5_1000_3.dat";"synthetic,powerlawnoise";"1000";;"Ben Fulcher Simulated";NULL
"SY_plnm_r_-1.5_5000_1.dat";"synthetic,powerlawnoise";"5000";;"Ben Fulcher Simulated";NULL
"SY_plnm_r_-1.5_5000_2.dat";"synthetic,powerlawnoise";"5000";;"Ben Fulcher Simulated";NULL
"SY_plnm_r_-1.5_5000_3.dat";"synthetic,powerlawnoise";"5000";;"Ben Fulcher Simulated";NULL
"SY_plnm_r_-1_10000_1.dat";"synthetic,powerlawnoise";"10000";;"Ben Fulcher Simulated";NULL
"SY_plnm_r_-1_10000_2.dat";"synthetic,powerlawnoise";"10000";;"Ben Fulcher Simulated";NULL
"SY_plnm_r_-1_10000_3.dat";"synthetic,powerlawnoise";"10000";;"Ben Fulcher Simulated";NULL
"SY_plnm_r_-1_1000_1.dat";"synthetic,powerlawnoise";"1000";;"Ben Fulcher Simulated";NULL
"SY_plnm_r_-1_1000_2.dat";"synthetic,powerlawnoise";"1000";;"Ben Fulcher Simulated";NULL
"SY_plnm_r_-1_1000_3.dat";"synthetic,powerlawnoise";"1000";;"Ben Fulcher Simulated";NULL
"SY_plnm_r_-1_5000_1.dat";"synthetic,powerlawnoise";"5000";;"Ben Fulcher Simulated";NULL
"SY_plnm_r_-1_5000_2.dat";"synthetic,powerlawnoise";"5000";;"Ben Fulcher Simulated";NULL
"SY_plnm_r_-1_5000_3.dat";"synthetic,powerlawnoise";"5000";;"Ben Fulcher Simulated";NULL
"SY_plnm_r_-2_10000_1.dat";"synthetic,powerlawnoise";"10000";;"Ben Fulcher Simulated";NULL
"SY_plnm_r_-2_10000_2.dat";"synthetic,powerlawnoise";"10000";;"Ben Fulcher Simulated";NULL
"SY_plnm_r_-2_10000_3.dat";"synthetic,powerlawnoise";"10000";;"Ben Fulcher Simulated";NULL
"SY_plnm_r_-2_1000_1.dat";"synthetic,powerlawnoise";"1000";;"Ben Fulcher Simulated";NULL
"SY_plnm_r_-2_1000_2.dat";"synthetic,powerlawnoise";"1000";;"Ben Fulcher Simulated";NULL
"SY_plnm_r_-2_1000_3.dat";"synthetic,powerlawnoise";"1000";;"Ben Fulcher Simulated";NULL
"SY_plnm_r_-2_5000_1.dat";"synthetic,powerlawnoise";"5000";;"Ben Fulcher Simulated";NULL
"SY_plnm_r_-2_5000_2.dat";"synthetic,powerlawnoise";"5000";;"Ben Fulcher Simulated";NULL
"SY_plnm_r_-2_5000_3.dat";"synthetic,powerlawnoise";"5000";;"Ben Fulcher Simulated";NULL
"SY_plnm_r_0.5_10000_1.dat";"synthetic,powerlawnoise";"10000";;"Ben Fulcher Simulated";NULL
"SY_plnm_r_0.5_10000_2.dat";"synthetic,powerlawnoise";"10000";;"Ben Fulcher Simulated";NULL
"SY_plnm_r_0.5_10000_3.dat";"synthetic,powerlawnoise";"10000";;"Ben Fulcher Simulated";NULL
"SY_plnm_r_0.5_1000_1.dat";"synthetic,powerlawnoise";"1000";;"Ben Fulcher Simulated";NULL
"SY_plnm_r_0.5_1000_2.dat";"synthetic,powerlawnoise";"1000";;"Ben Fulcher Simulated";NULL
"SY_plnm_r_0.5_1000_3.dat";"synthetic,powerlawnoise";"1000";;"Ben Fulcher Simulated";NULL
"SY_plnm_r_0.5_5000_1.dat";"synthetic,powerlawnoise";"5000";;"Ben Fulcher Simulated";NULL
"SY_plnm_r_0.5_5000_2.dat";"synthetic,powerlawnoise";"5000";;"Ben Fulcher Simulated";NULL
"SY_plnm_r_0.5_5000_3.dat";"synthetic,powerlawnoise";"5000";;"Ben Fulcher Simulated";NULL
"SY_plnm_r_0_10000_1.dat";"synthetic,powerlawnoise";"10000";;"Ben Fulcher Simulated";NULL
"SY_plnm_r_0_10000_2.dat";"synthetic,powerlawnoise";"10000";;"Ben Fulcher Simulated";NULL
"SY_plnm_r_0_10000_3.dat";"synthetic,powerlawnoise";"10000";;"Ben Fulcher Simulated";NULL
"SY_plnm_r_0_1000_1.dat";"synthetic,powerlawnoise";"1000";;"Ben Fulcher Simulated";NULL
"SY_plnm_r_0_1000_2.dat";"synthetic,powerlawnoise";"1000";;"Ben Fulcher Simulated";NULL
